host=cn017.delta.ncsa.illinois.edu nodes=2 variants=scripts/ab/7.4-idle-confirm.txt scale=20 ppn=16 reps=20
    rep 20 uniform starved: ok 0.118708
    rep 20 uniform off-again: ok 0.113420
    rep 20 mesh off: ok 0.437675
    rep 20 mesh starved: ok 0.405062
    rep 20 mesh off-again: ok 0.388976
    rep 20 rmat off: ok 0.120895
    rep 20 rmat starved: ok 0.117575
    rep 20 rmat off-again: ok 0.123631
Results under ab-out-7.4-idle-confirm-2n/. Summarise with scripts/diag_report.py ab-out-7.4-idle-confirm-2n
== report ==
A/B  baseline = off; medians over repetitions, spread is min..max compute_s

  mesh
    variant    compute_s  spread          vs base  failed  rounds  bucket_scale  rej/|E|  tram_msgs  bytes_sent  stale_flushes  idle_flushes  absorbed/|E|  hold_absorb%  created    dist_changes
    ---------  ---------  --------------  -------  ------  ------  ------------  -------  ---------  ----------  -------------  ------------  ------------  ------------  ---------  ------------
    off        0.4245     0.3923..0.4439  1.00x    0       2780    4             1.518    38568      204322364   3.857e+04      0             0             -             8.488e+06  2592303     
    starved    0.4188     0.3839..0.4366  0.99x    0       2360    4             1.777    4.371e+04  239039836   5416           38250         0             -             9.931e+06  3009975     
    off-again  0.426      0.3233..0.4416  1.00x    0       2760    4             1.526    3.854e+04  205277480   3.854e+04      0             0             -             8527547    2.602e+06   

  rmat
    variant    compute_s  spread          vs base  failed  rounds  bucket_scale  rej/|E|  tram_msgs  bytes_sent  stale_flushes  idle_flushes  absorbed/|E|  hold_absorb%  created    dist_changes
    ---------  ---------  --------------  -------  ------  ------  ------------  -------  ---------  ----------  -------------  ------------  ------------  ------------  ---------  ------------
    off        0.1275     0.11..0.1418    1.00x    0       74.5    10            1.455    13217      601480952   428.5          0             0             -             25052959   1852582     
    starved    0.1134     0.1059..0.1291  0.89x    0       74      8             1.269    1.19e+04   525761328   192            353.5         0             -             21898763   1.596e+06   
    off-again  0.1291     0.1134..0.1428  1.01x    0       73.5    10            1.454    13188      601027396   434            0             0             -             2.503e+07  1851794     

  uniform
    variant    compute_s  spread           vs base  failed  rounds  bucket_scale  rej/|E|  tram_msgs  bytes_sent  stale_flushes  idle_flushes  absorbed/|E|  hold_absorb%  created    dist_changes
    ---------  ---------  ---------------  -------  ------  ------  ------------  -------  ---------  ----------  -------------  ------------  ------------  ------------  ---------  ------------
    off        0.118      0.09713..0.1327  1.00x    0       82      13            0.9557   9062       411636504   176.5          0             0             -             17145527   2770218     
    starved    0.1187     0.09964..0.1278  1.01x    0       101.5   9             0.9488   9808       408607800   42.5           712.5         0             -             17018578   2675124     
    off-again  0.1181     0.1089..0.1387   1.00x    0       86.5    13            0.955    9100       411321340   181            0             0             -             1.713e+07  2.753e+06   

